Gemeindename,Gemeindeschlüssel,Stand in der KWP
Neversdorf,1060062.0,Stand unbekannt
Nützen,1060064.0,Stand unbekannt
Oersdorf,1060066.0,Stand unbekannt
Pronstorf,1060067.0,Stand unbekannt
Rickling,1060068.0,Stand unbekannt
Rohlstorf,1060069.0,Stand unbekannt
Schackendorf,1060070.0,Stand unbekannt
Schieren,1060071.0,Stand unbekannt
Schmalfeld,1060073.0,Stand unbekannt
Schwissel,1060074.0,Stand unbekannt
Seedorf (Kreis Segeberg),1060075.0,Stand unbekannt
Sievershütten,1060077.0,Stand unbekannt
Stipsdorf,1060079.0,Stand unbekannt
Strukdorf,1060081.0,Stand unbekannt
Struvenhütten,1060082.0,Stand unbekannt
Stuvenborn,1060084.0,Stand unbekannt
Todesfelde,1060088.0,Stand unbekannt
Travenhorst,1060090.0,Stand unbekannt
Traventhal,1060091.0,Stand unbekannt
Wakendorf I,1060093.0,Stand unbekannt
Wakendorf II,1060094.0,Stand unbekannt
Weddelbrook,1060095.0,Stand unbekannt
Weede,1060096.0,Stand unbekannt
Wensin,1060097.0,Stand unbekannt
Westerrade,1060098.0,Stand unbekannt
Wiemersdorf,1060099.0,Stand unbekannt
Winsen,1060100.0,Stand unbekannt
Wittenborn,1060101.0,Stand unbekannt
Aasbüttel,1061001.0,Stand unbekannt
Aebtissinwisch,1061002.0,Stand unbekannt
Agethorst,1061003.0,Stand unbekannt
Altenmoor,1061004.0,Stand unbekannt
Auufer,1061005.0,Stand unbekannt
Bahrenfleth,1061006.0,Stand unbekannt
Beidenfleth,1061007.0,Stand unbekannt
Bekdorf,1061008.0,Stand unbekannt
Bekmünde,1061010.0,Stand unbekannt
Besdorf,1061011.0,Stand unbekannt
Blomesche Wildnis,1061012.0,Stand unbekannt
Bokelrehm,1061013.0,Stand unbekannt
Bokhorst,1061014.0,Stand unbekannt
Borsfleth,1061015.0,Stand unbekannt
Breitenberg (Schleswig-Holstein),1061016.0,Stand unbekannt
Breitenburg,1061017.0,Stand unbekannt
Brokdorf,1061018.0,Stand unbekannt
Büttel,1061020.0,Stand unbekannt
Christinenthal,1061021.0,Stand unbekannt
Dägeling,1061022.0,Stand unbekannt
Dammfleth,1061023.0,Stand unbekannt
Drage (Kreis Steinburg),1061024.0,Stand unbekannt
Ecklak,1061025.0,Stand unbekannt
Elskop,1061026.0,Stand unbekannt
Engelbrechtsche Wildnis,1061027.0,Stand unbekannt
Fitzbek,1061028.0,Stand unbekannt
Glückstadt,1061029.0,Stand unbekannt
Grevenkop,1061030.0,Stand unbekannt
Gribbohm,1061031.0,Stand unbekannt
Hadenfeld,1061033.0,Stand unbekannt
Heiligenstedten,1061034.0,Stand unbekannt
Heiligenstedtenerkamp,1061035.0,Stand unbekannt
Hennstedt (Kreis Steinburg),1061036.0,Stand unbekannt
Herzhorn,1061037.0,Stand unbekannt
Hingstheide,1061038.0,Stand unbekannt
Hodorf,1061039.0,Stand unbekannt
Hohenaspe,1061040.0,Stand unbekannt
Hohenfelde (Kreis Steinburg),1061041.0,Stand unbekannt
Holstenniendorf,1061043.0,Stand unbekannt
Horst (Holstein),1061044.0,Stand unbekannt
Huje,1061045.0,Stand unbekannt
Kaaks,1061047.0,Stand unbekannt
Kaisborstel,1061048.0,Stand unbekannt
Kiebitzreihe,1061050.0,Stand unbekannt
Kleve (Kreis Steinburg),1061052.0,Stand unbekannt
Kollmoor,1061053.0,Stand unbekannt
Krempdorf,1061054.0,Stand unbekannt
Krempe,1061055.0,Stand unbekannt
Kremperheide,1061056.0,Stand unbekannt
Krempermoor,1061057.0,Stand unbekannt
Kronsmoor,1061058.0,Stand unbekannt
Krummendiek,1061059.0,Stand unbekannt
Kudensee,1061060.0,Stand unbekannt
Lägerdorf,1061061.0,Stand unbekannt
Landrecht,1061062.0,Stand unbekannt
Landscheide,1061063.0,Stand unbekannt
Lockstedt,1061064.0,Stand unbekannt
Lohbarbek,1061065.0,Stand unbekannt
Looft,1061066.0,Stand unbekannt
Mehlbek,1061067.0,Stand unbekannt
Moordiek,1061068.0,Stand unbekannt
Moorhusen,1061070.0,Stand unbekannt
Mühlenbarbek,1061071.0,Stand unbekannt
Münsterdorf,1061072.0,Stand unbekannt
Neuenbrook,1061073.0,Stand unbekannt
Neuendorf b.Elmshorn,1061074.0,Stand unbekannt
Nienbüttel,1061076.0,Stand unbekannt
Nutteln,1061078.0,Stand unbekannt
Oelixdorf,1061079.0,Stand unbekannt
Oeschebüttel,1061080.0,Stand unbekannt
Oldenborstel,1061081.0,Stand unbekannt
Ottenbüttel,1061083.0,Stand unbekannt
Peissen,1061084.0,Stand unbekannt
Pöschendorf,1061085.0,Stand unbekannt
Poyenberg,1061086.0,Stand unbekannt
Puls,1061087.0,Stand unbekannt
Quarnstedt,1061088.0,Stand unbekannt
Rade,1061089.0,Stand unbekannt
Reher,1061091.0,Stand unbekannt
Rethwisch (Kreis Steinburg),1061092.0,Stand unbekannt
Rosdorf (Holstein),1061093.0,Stand unbekannt
Sankt Margarethen,1061095.0,Stand unbekannt
Sarlhusen,1061096.0,Stand unbekannt
Schlotfeld,1061098.0,Stand unbekannt
Silzen,1061100.0,Stand unbekannt
Sommerland,1061101.0,Stand unbekannt
Stördorf,1061102.0,Stand unbekannt
Störkathen,1061103.0,Stand unbekannt
Süderau,1061104.0,Stand unbekannt
Vaale,1061105.0,Stand unbekannt
Vaalermoor,1061106.0,Stand unbekannt
Wacken,1061107.0,Stand unbekannt
Warringholz,1061108.0,Stand unbekannt
Westermoor,1061109.0,Stand unbekannt
Wewelsfleth,1061110.0,Stand unbekannt
Wiedenborstel,1061111.0,Stand unbekannt
Willenscharen,1061112.0,Stand unbekannt
Winseldorf,1061114.0,Stand unbekannt
Wittenbergen,1061115.0,Stand unbekannt
Wrist,1061116.0,Stand unbekannt
Wulfsmoor,1061117.0,Stand unbekannt
Kollmar,1061118.0,Stand unbekannt
Neuendorf-Sachsenbande,1061119.0,Stand unbekannt
Badendorf,1062003.0,Stand unbekannt
Barnitz,1062008.0,Stand unbekannt
Grande,1062020.0,Stand unbekannt
Grönwohld,1062021.0,Stand unbekannt
Großensee,1062022.0,Stand unbekannt
Hamberge,1062025.0,Stand unbekannt
Hamfelde (Kreis Stormarn),1062026.0,Stand unbekannt
Heidekamp,1062031.0,Stand unbekannt
Heilshoop,1062032.0,Stand unbekannt
Hohenfelde (Kreis Stormarn),1062033.0,Stand unbekannt
Klein Wesenberg,1062039.0,Stand unbekannt
Köthel (Kreis Stormarn),1062040.0,Stand unbekannt
Lütjensee,1062045.0,Stand unbekannt
Mönkhagen,1062048.0,Stand unbekannt
Rausdorf,1062058.0,Stand unbekannt
Rehhorst,1062059.0,Stand unbekannt
Rümpel,1062065.0,Stand unbekannt
Westerau,1062083.0,Stand unbekannt
Witzhave,1062086.0,Stand unbekannt
Zarpen,1062087.0,Stand unbekannt
Feldhorst,1062093.0,Stand unbekannt
Wesenberg,1062094.0,Stand unbekannt
Adenbüttel,3151001.0,Stand unbekannt
Barwedel,3151002.0,Stand unbekannt
Bokensdorf,3151004.0,Stand unbekannt
Calberlah,3151006.0,Stand unbekannt
Dedelstorf,3151007.0,Stand unbekannt
Groß Oesingen,3151010.0,Stand unbekannt
Hankensbüttel,3151011.0,Stand unbekannt
Isenbüttel,3151013.0,Stand unbekannt
Jembke,3151014.0,Stand unbekannt
Meine,3151016.0,Stand unbekannt
Obernholz,3151019.0,Stand unbekannt
Osloß,3151020.0,Stand unbekannt
Ribbesbüttel,3151022.0,Stand unbekannt
Rötgesbüttel,3151023.0,Stand unbekannt
Sassenburg,3151025.0,Stand unbekannt
Schönewörde,3151026.0,Stand unbekannt
Sprakensehl,3151028.0,Stand unbekannt
Steinhorst (Kreis Gifhorn),3151029.0,Stand unbekannt
Tappenbeck,3151030.0,Stand unbekannt
Ummern,3151033.0,Stand unbekannt
Vordorf,3151034.0,Stand unbekannt
Wagenhoff,3151035.0,Stand unbekannt
Wahrenholz,3151036.0,Stand unbekannt
Wasbüttel,3151037.0,Stand unbekannt
Wesendorf,3151038.0,Stand unbekannt
Weyhausen,3151039.0,Stand unbekannt
Didderse,3151041.0,Stand unbekannt
Bad Harzburg,3153002.0,Stand unbekannt
Liebenburg,3153008.0,Stand unbekannt
Bahrdorf,3154001.0,Stand unbekannt
Danndorf,3154004.0,Stand unbekannt
Frellstedt,3154005.0,Stand unbekannt
Grafhorst,3154007.0,Stand unbekannt
Groß Twülpstedt,3154009.0,Stand unbekannt
Räbke,3154017.0,Stand unbekannt
Schöningen,3154019.0,Stand unbekannt
Süpplingen,3154021.0,Stand unbekannt
Süpplingenburg,3154022.0,Stand unbekannt
Velpke,3154024.0,Stand unbekannt
Warberg,3154025.0,Stand unbekannt
Wolsdorf,3154026.0,Stand unbekannt
Bodenfelde,3155002.0,Stand unbekannt
Dassel,3155003.0,Stand unbekannt
Hardegsen,3155005.0,Stand unbekannt
Kalefeld,3155006.0,Stand unbekannt
Katlenburg-Lindau,3155007.0,Stand unbekannt
Baddeckenstedt,3158002.0,Stand unbekannt
Cramme,3158005.0,Stand unbekannt
Dettum,3158009.0,Stand unbekannt
Dorstadt,3158010.0,Stand unbekannt
Erkerode,3158012.0,Stand unbekannt
Evessen,3158013.0,Stand unbekannt
Flöthe,3158014.0,Stand unbekannt
Haverlah,3158016.0,Stand unbekannt
Heere,3158018.0,Stand unbekannt
Heiningen (Niedersachsen),3158019.0,Stand unbekannt
Ohrum,3158023.0,Stand unbekannt
Sehlde,3158028.0,Stand unbekannt
Sickte,3158030.0,Stand unbekannt
Veltheim (Ohe),3158033.0,Stand unbekannt
Börßum,3158038.0,Stand unbekannt
Schladen-Werla,3158039.0,Stand unbekannt
Bad Grund (Harz),3159002.0,Stand unbekannt
Bühren,3159008.0,Stand unbekannt
Dransfeld,3159009.0,Stand unbekannt
Jühnde,3159021.0,Stand unbekannt
Niemetal,3159024.0,Stand unbekannt
Scheden,3159031.0,Stand unbekannt
Staufenberg (Niedersachsen),3159034.0,Stand unbekannt
Burgdorf (Region Hannover),3241003.0,Stand unbekannt
Affinghausen,3251001.0,Stand unbekannt
Asendorf (Kreis Diepholz),3251002.0,Stand unbekannt
Bahrenborstel,3251003.0,Stand unbekannt
Barenburg,3251004.0,Stand unbekannt
Borstel (Niedersachsen),3251008.0,Stand unbekannt
Brockum,3251009.0,Stand unbekannt
Ehrenburg,3251015.0,Stand unbekannt
Freistatt,3251018.0,Stand unbekannt
Hüde,3251020.0,Stand unbekannt
Kirchdorf (bei Sulingen),3251021.0,Stand unbekannt
Lembruch,3251022.0,Stand unbekannt
Lemförde,3251023.0,Stand unbekannt
Maasen,3251024.0,Stand unbekannt
Marl (Dümmer),3251025.0,Stand unbekannt
Martfeld,3251026.0,Stand unbekannt
Mellinghausen,3251027.0,Stand unbekannt
Neuenkirchen (bei Bassum),3251028.0,Stand unbekannt
Quernheim,3251029.0,Stand unbekannt
Scholen,3251031.0,Stand unbekannt
Schwaförden,3251032.0,Stand unbekannt
Schwarme,3251033.0,Stand unbekannt
Siedenburg,3251034.0,Stand unbekannt
Staffhorst,3251035.0,Stand unbekannt
Stemshorn,3251036.0,Stand unbekannt
Sudwalde,3251038.0,Stand unbekannt
Varrel,3251043.0,Stand unbekannt
Wehrbleck,3251045.0,Stand unbekannt
Bruchhausen-Vilsen,3251049.0,Stand unbekannt
Bad Salzdetfurth,3254005.0,Stand unbekannt
Eime,3254013.0,Stand unbekannt
Elze,3254014.0,Stand unbekannt
Holle,3254022.0,Stand unbekannt
Nordstemmen,3254026.0,Stand unbekannt
Sarstedt,3254028.0,Stand unbekannt
Duingen,3254041.0,Stand unbekannt
Freden (Leine),3254042.0,Stand unbekannt
Gronau (Leine),3254043.0,Stand unbekannt
Arholzen,3255001.0,Stand unbekannt
Bevern (Kreis Holzminden),3255002.0,Stand unbekannt
Bodenwerder,3255003.0,Stand unbekannt
Brevörde,3255005.0,Stand unbekannt
Deensen,3255007.0,Stand unbekannt
Derental,3255009.0,Stand unbekannt
Dielmissen,3255010.0,Stand unbekannt
Eimen,3255012.0,Stand unbekannt
Eschershausen,3255013.0,Stand unbekannt
Fürstenberg,3255014.0,Stand unbekannt
Golmbach,3255015.0,Stand unbekannt
Halle (Weserbergland),3255016.0,Stand unbekannt
Hehlen,3255017.0,Stand unbekannt
Heinade,3255018.0,Stand unbekannt
Heinsen,3255019.0,Stand unbekannt
Heyen,3255020.0,Stand unbekannt
Holenberg,3255021.0,Stand unbekannt
Holzen,3255022.0,Stand unbekannt
Kirchbrak,3255025.0,Stand unbekannt
Lauenförde,3255026.0,Stand unbekannt
Lenne,3255027.0,Stand unbekannt
Lüerdissen,3255028.0,Stand unbekannt
Negenborn,3255030.0,Stand unbekannt
Pegestorf,3255032.0,Stand unbekannt
Polle,3255033.0,Stand unbekannt
Vahlbruch,3255035.0,Stand unbekannt
Wangelnstedt,3255036.0,Stand unbekannt
Apelern,3257002.0,Stand unbekannt
Auetal,3257003.0,Stand unbekannt
Auhagen,3257004.0,Stand unbekannt
Hagenburg,3257010.0,Stand unbekannt
Hülsede,3257017.0,Stand unbekannt
Lauenau,3257018.0,Stand unbekannt
Messenkamp,3257024.0,Stand unbekannt
Pohle,3257029.0,Stand unbekannt
Rodenberg,3257032.0,Stand unbekannt
Sachsenhagen,3257033.0,Stand unbekannt
Wölpinghausen,3257038.0,Stand unbekannt
Hechthausen,3352020.0,Stand unbekannt
Osten,3352044.0,Stand unbekannt
Wurster Nordseeküste,3352061.0,Stand unbekannt
Appel,3353001.0,Stand unbekannt
Drestedt,3353008.0,Stand unbekannt
Halvesbostel,3353014.0,Stand unbekannt
Hollenstedt,3353019.0,Stand unbekannt
Moisburg,3353025.0,Stand unbekannt
Regesbostel,3353028.0,Stand unbekannt
Wenzendorf,3353039.0,Stand unbekannt
Bergen an der Dumme,3354001.0,Stand unbekannt
Clenze,3354002.0,Stand unbekannt
Damnatz,3354003.0,Stand unbekannt
Dannenberg (Elbe),3354004.0,Stand unbekannt
Gartow,3354005.0,Stand unbekannt
Göhrde,3354006.0,Stand unbekannt
Gorleben,3354007.0,Stand unbekannt
Gusborn,3354008.0,Stand unbekannt
Hitzacker (Elbe),3354009.0,Stand unbekannt
Höhbeck,3354010.0,Stand unbekannt
Jameln,3354011.0,Stand unbekannt
Karwitz,3354012.0,Stand unbekannt
Küsten,3354013.0,Stand unbekannt
Langendorf,3354014.0,Stand unbekannt
Lemgow,3354015.0,Stand unbekannt
Luckau (Wendland),3354016.0,Stand unbekannt
Lübbow,3354017.0,Stand unbekannt
Lüchow (Wendland),3354018.0,Stand unbekannt
Neu Darchau,3354019.0,Stand unbekannt
Prezelle,3354020.0,Stand unbekannt
Schnackenburg,3354021.0,Stand unbekannt
Schnega,3354022.0,Stand unbekannt
Trebel,3354023.0,Stand unbekannt
Waddeweitz,3354024.0,Stand unbekannt
Woltersdorf (Wendland),3354025.0,Stand unbekannt
Wustrow (Wendland),3354026.0,Stand unbekannt
Zernien,3354027.0,Stand unbekannt
Barnstedt,3355006.0,Stand unbekannt
Deutsch Evern,3355014.0,Stand unbekannt
Embsen,3355016.0,Stand unbekannt
Melbeck,3355024.0,Stand unbekannt
Alfstedt,3357002.0,Stand unbekannt
Basdahl,3357004.0,Stand unbekannt
Bremervörde,3357008.0,Stand unbekannt
Ebersdorf,3357012.0,Stand unbekannt
Helvesiek,3357023.0,Stand unbekannt
Hipstedt,3357027.0,Stand unbekannt
Oerel,3357035.0,Stand unbekannt
Stemmen,3357046.0,Stand unbekannt
Vahlde,3357049.0,Stand unbekannt
Ahlden (Aller),3358001.0,Stand unbekannt
Bispingen,3358002.0,Stand unbekannt
Böhme,3358003.0,Stand unbekannt
Buchholz (Aller),3358005.0,Stand unbekannt
Eickeloh,3358006.0,Stand unbekannt
Essel,3358007.0,Stand unbekannt
Bad Fallingbostel,3358008.0,Stand unbekannt
Frankenfeld,3358009.0,Stand unbekannt
Gilten,3358010.0,Stand unbekannt
Grethem,3358011.0,Stand unbekannt
Hademstorf,3358012.0,Stand unbekannt
Häuslingen,3358013.0,Stand unbekannt
Hodenhagen,3358014.0,Stand unbekannt
Lindwedel,3358015.0,Stand unbekannt
Neuenkirchen (Lüneburger Heide),3358017.0,Stand unbekannt
Rethem (Aller),3358018.0,Stand unbekannt
Schwarmstedt,3358020.0,Stand unbekannt
Walsrode,3358024.0,Stand unbekannt
Ahlerstedt,3359002.0,Stand unbekannt
Balje,3359004.0,Stand unbekannt
Bargstedt (Niedersachsen),3359005.0,Stand unbekannt
Brest,3359008.0,Stand unbekannt
Deinste,3359011.0,Stand unbekannt
Drochtersen,3359013.0,Stand unbekannt
Fredenbeck,3359017.0,Stand unbekannt
Freiburg (Elbe),3359018.0,Stand unbekannt
Harsefeld,3359023.0,Stand unbekannt
Krummendeich,3359030.0,Stand unbekannt
Kutenholz,3359031.0,Stand unbekannt
Oederquart,3359035.0,Stand unbekannt
Wischhafen,3359040.0,Stand unbekannt
Altenmedingen,3360001.0,Stand unbekannt
Bad Bevensen,3360002.0,Stand unbekannt
Barum (Kreis Uelzen),3360003.0,Stand unbekannt
Bienenbüttel,3360004.0,Stand unbekannt
Bad Bodenteich,3360005.0,Stand unbekannt
Ebstorf,3360006.0,Stand unbekannt
Emmendorf,3360008.0,Stand unbekannt
Hanstedt (Kreis Uelzen),3360010.0,Stand unbekannt
Himbergen,3360011.0,Stand unbekannt
Jelmstorf,3360012.0,Stand unbekannt
Lüder,3360013.0,Stand unbekannt
Natendorf,3360014.0,Stand unbekannt
Oetzen,3360015.0,Stand unbekannt
Rätzlingen,3360016.0,Stand unbekannt
Römstedt,3360017.0,Stand unbekannt
Rosche,3360018.0,Stand unbekannt
Schwienau,3360019.0,Stand unbekannt
Soltendieck,3360020.0,Stand unbekannt
Stoetze,3360022.0,Stand unbekannt
Suhlendorf,3360024.0,Stand unbekannt
Weste,3360026.0,Stand unbekannt
Wriedel,3360029.0,Stand unbekannt
Wrestedt,3360030.0,Stand unbekannt
Dörverden,3361003.0,Stand unbekannt
Kirchlinteln,3361005.0,Stand unbekannt
Langwedel (Weser),3361006.0,Stand unbekannt
Oyten,3361009.0,Stand unbekannt
Apen,3451001.0,Stand unbekannt
Edewecht,3451004.0,Stand unbekannt
Baltrum,3452002.0,Stand unbekannt
Berumbur,3452003.0,Stand unbekannt
Großefehn,3452006.0,Stand unbekannt
Großheide,3452007.0,Stand unbekannt
Hage,3452008.0,Stand unbekannt
Hagermarsch,3452009.0,Stand unbekannt
Halbemond,3452010.0,Stand unbekannt
Juist,3452013.0,Stand unbekannt
Leezdorf,3452015.0,Stand unbekannt
Lütetsburg,3452016.0,Stand unbekannt
Marienhafe,3452017.0,Stand unbekannt
Norderney,3452020.0,Stand unbekannt
Osteel,3452021.0,Stand unbekannt
Rechtsupweg,3452022.0,Stand unbekannt
Südbrookmerland,3452023.0,Stand unbekannt
Upgant-Schott,3452024.0,Stand unbekannt
Wiesmoor,3452025.0,Stand unbekannt
Wirdum,3452026.0,Stand unbekannt
Saterland,3453013.0,Stand unbekannt
Bawinkel,3454002.0,Stand unbekannt
Börger,3454005.0,Stand unbekannt
Dohren (Emsland),3454009.0,Stand unbekannt
Geeste,3454014.0,Stand unbekannt
Gersten,3454015.0,Stand unbekannt
Groß Berßen,3454016.0,Stand unbekannt
Handrup,3454017.0,Stand unbekannt
Haren (Ems),3454018.0,Stand unbekannt
Haselünne,3454019.0,Stand unbekannt
Herzlake,3454021.0,Stand unbekannt
Hüven,3454023.0,Stand unbekannt
Klein Berßen,3454024.0,Stand unbekannt
Lähden,3454026.0,Stand unbekannt
Lahn,3454027.0,Stand unbekannt
Langen,3454028.0,Stand unbekannt
Lorup,3454033.0,Stand unbekannt
Niederlangen,3454039.0,Stand unbekannt
Oberlangen,3454040.0,Stand unbekannt
Rastdorf,3454042.0,Stand unbekannt
Sögel,3454047.0,Stand unbekannt
Spahnharrenstätte,3454048.0,Stand unbekannt
Stavern,3454050.0,Stand unbekannt
Werlte,3454057.0,Stand unbekannt
Werpeloh,3454058.0,Stand unbekannt
Wettrup,3454059.0,Stand unbekannt
Wangerland,3455020.0,Stand unbekannt
Wangerooge,3455021.0,Stand unbekannt
Zetel,3455027.0,Stand unbekannt
Emlichheim,3456002.0,Stand unbekannt
Getelo,3456006.0,Stand unbekannt
Gölenkamp,3456007.0,Stand unbekannt
Halle (bei Neuenhaus),3456008.0,Stand unbekannt
Hoogstede,3456009.0,Stand unbekannt
Itterbeck,3456011.0,Stand unbekannt
Laar,3456012.0,Stand unbekannt
Lage (Dinkel),3456013.0,Stand unbekannt
Ringe,3456019.0,Stand unbekannt
Uelsen,3456023.0,Stand unbekannt
Wielen,3456024.0,Stand unbekannt
Wilsum,3456026.0,Stand unbekannt
Detern,3457006.0,Stand unbekannt
Filsum,3457008.0,Stand unbekannt
Nortmoor,3457016.0,Stand unbekannt
Dötlingen,3458003.0,Stand unbekannt
Ganderkesee,3458005.0,Stand unbekannt
Hude (Oldb),3458010.0,Stand unbekannt
Bad Rothenfelde,3459006.0,Stand unbekannt
Berge (Kreis Osnabrück),3459009.0,Stand unbekannt
Bippen,3459011.0,Stand unbekannt
Bohmte,3459013.0,Stand unbekannt
Bramsche,3459014.0,Stand unbekannt
Fürstenau,3459017.0,Stand unbekannt
Merzen,3459026.0,Stand unbekannt
Neuenkirchen (Kreis Osnabrück),3459027.0,Stand unbekannt
Voltlage,3459032.0,Stand unbekannt
Glandorf,3459034.0,Stand unbekannt
Holdorf,3460005.0,Stand unbekannt
Neuenkirchen-Vörden,3460007.0,Stand unbekannt
Butjadingen,3461003.0,Stand unbekannt
Elsfleth,3461004.0,Stand unbekannt
Lemwerder,3461006.0,Stand unbekannt
Ovelgönne,3461008.0,Stand unbekannt
Stadland,3461009.0,Stand unbekannt
Emmerich am Rhein,5154008.0,Stand unbekannt
Geldern,5154012.0,Stand unbekannt
Kranenburg (Niederrhein),5154040.0,Stand unbekannt
Weeze,5154064.0,Stand unbekannt
Haan,5158008.0,Stand unbekannt
Heiligenhaus,5158012.0,Stand unbekannt
Mettmann,5158024.0,Stand unbekannt
Monheim am Rhein,5158026.0,Stand unbekannt
Jüchen,5162012.0,Stand unbekannt
Brüggen,5166004.0,Stand unbekannt
Tönisvorst,5166028.0,Stand unbekannt
Neukirchen-Vluyn,5170028.0,Stand unbekannt
Schermbeck,5170036.0,Stand unbekannt
Sonsbeck,5170040.0,Stand unbekannt
Würselen,5334036.0,Stand unbekannt
Aldenhoven,5358004.0,Stand unbekannt
Langerwehe,5358032.0,Stand unbekannt
Nideggen,5358044.0,Stand unbekannt
Bergheim (Nordrhein-Westfalen),5362008.0,Stand unbekannt
Erkelenz,5370004.0,Stand unbekannt
Gangelt,5370008.0,Stand unbekannt
Heinsberg,5370016.0,Stand unbekannt
Hückelhoven,5370020.0,Stand unbekannt
Selfkant,5370024.0,Stand unbekannt
Waldfeucht,5370032.0,Stand unbekannt
Wegberg,5370040.0,Stand unbekannt
Nümbrecht,5374032.0,Stand unbekannt
Odenthal,5378020.0,Stand unbekannt
Wermelskirchen,5378032.0,Stand unbekannt
Neunkirchen-Seelscheid,5382040.0,Stand unbekannt
Siegburg,5382060.0,Stand unbekannt
Heek,5554024.0,Stand unbekannt
Heiden,5554028.0,Stand unbekannt
Legden,5554036.0,Stand unbekannt
Reken,5554044.0,Stand unbekannt
Schöppingen,5554052.0,Stand unbekannt
Havixbeck,5558020.0,Stand unbekannt
Nordkirchen,5558028.0,Stand unbekannt
Olfen,5558036.0,Stand unbekannt
Oer-Erkenschwick,5562028.0,Stand unbekannt
Waltrop,5562036.0,Stand unbekannt
Greven,5566012.0,Stand unbekannt
Hopsten,5566020.0,Stand unbekannt
Mettingen,5566056.0,Stand unbekannt
Neuenkirchen (Münsterland),5566060.0,Stand unbekannt
Recke,5566072.0,Stand unbekannt
Beckum,5570008.0,Stand unbekannt
Everswinkel,5570024.0,Stand unbekannt
Borgholzhausen,5754004.0,Stand unbekannt
Langenberg,5754024.0,Stand unbekannt
Kirchlengern,5758020.0,Stand unbekannt
Löhne,5758024.0,Stand unbekannt
Bad Driburg,5762004.0,Stand unbekannt
Willebadessen,5762040.0,Stand unbekannt
Barntrup,5766012.0,Stand unbekannt
Extertal,5766028.0,Stand unbekannt
Leopoldshöhe,5766048.0,Stand unbekannt
Schlangen,5766064.0,Stand unbekannt
Hille,5770012.0,Stand unbekannt
Hüllhorst,5770016.0,Stand unbekannt
Petershagen,5770028.0,Stand unbekannt
Preußisch Oldendorf,5770036.0,Stand unbekannt
Rahden,5770040.0,Stand unbekannt
Stemwede,5770044.0,Stand unbekannt
Salzkotten,5774036.0,Stand unbekannt
Bad Wünnenberg,5774040.0,Stand unbekannt
Ennepetal,5954008.0,Stand unbekannt
Gevelsberg,5954012.0,Stand unbekannt
Herdecke,5954020.0,Stand unbekannt
Sprockhövel,5954028.0,Stand unbekannt
Wetter (Ruhr),5954032.0,Stand unbekannt
Bestwig,5958008.0,Stand unbekannt
Eslohe (Sauerland),5958016.0,Stand unbekannt
Meschede,5958032.0,Stand unbekannt
Olsberg,5958036.0,Stand unbekannt
Balve,5962008.0,Stand unbekannt
Halver,5962012.0,Stand unbekannt
Herscheid,5962020.0,Stand unbekannt
Kierspe,5962028.0,Stand unbekannt
Meinerzhagen,5962036.0,Stand unbekannt
Nachrodt-Wiblingwerde,5962044.0,Stand unbekannt
Neuenrade,5962048.0,Stand unbekannt
Plettenberg,5962052.0,Stand unbekannt
Schalksmühle,5962056.0,Stand unbekannt
Werdohl,5962060.0,Stand unbekannt
Drolshagen,5966008.0,Stand unbekannt
Finnentrop,5966012.0,Stand unbekannt
Kirchhundem,5966016.0,Stand unbekannt
Olpe,5966024.0,Stand unbekannt
Wenden,5966028.0,Stand unbekannt
Erwitte,5974016.0,Stand unbekannt
Möhnesee,5974032.0,Stand unbekannt
Rüthen,5974036.0,Stand unbekannt
Welver,5974048.0,Stand unbekannt
Werl,5974052.0,Stand unbekannt
Fröndenberg/Ruhr,5978012.0,Stand unbekannt
Holzwickede,5978016.0,Stand unbekannt
Abtsteinach,6431001.0,Stand unbekannt
